no_of_dependents,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,education_ Graduate,education_ Not Graduate,self_employed_ No,self_employed_ Yes,target
5,0.5833333333333334,1.120879120879121,6,-0.11925042589437819,0.02197802197802198,1.632,0.09090909090909091,0.8936170212765957,0.0,1.0,1.0,0.0,0
0,0.9375,1.4212454212454213,12,0.3645655877342419,2.0,1.056,1.6433566433566433,0.7021276595744681,0.0,1.0,0.0,1.0,0
1,-0.8958333333333334,-0.8571428571428571,8,0.26916524701873934,-0.37362637362637363,-0.416,-0.8181818181818182,-0.8085106382978723,1.0,0.0,1.0,0.0,0
2,-0.041666666666666664,-0.10989010989010989,18,0.514480408858603,0.2857142857142857,-0.064,0.13286713286713286,0.574468085106383,1.0,0.0,0.0,1.0,0
5,-0.4375,-0.2564102564102564,12,-0.5519591141396933,0.31868131868131866,-0.192,-0.5104895104895105,-0.5319148936170213,1.0,0.0,0.0,1.0,1
4,-1.0,-0.9963369963369964,10,0.7359454855195912,-0.5384615384615384,-0.544,-0.958041958041958,-0.9148936170212766,0.0,1.0,1.0,0.0,0
1,-1.0,-1.0256410256410255,8,0.7257240204429302,-0.5494505494505495,-0.544,-0.9440559440559441,-0.9148936170212766,0.0,1.0,0.0,1.0,0
5,0.75,1.347985347985348,4,0.2555366269165247,1.8571428571428572,1.776,1.020979020979021,-0.0425531914893617,1.0,0.0,1.0,0.0,0
1,0.875,1.0476190476190477,6,-0.262350936967632,0.6043956043956044,-0.336,0.35664335664335667,1.3829787234042554,0.0,1.0,1.0,0.0,1
3,0.9166666666666666,0.43956043956043955,2,0.43611584327086883,0.8571428571428571,0.016,0.42657342657342656,1.0,1.0,0.0,0.0,1.0,0
1,0.5416666666666666,0.7985347985347986,12,-0.1839863713798978,1.3736263736263736,1.104,0.4125874125874126,0.5319148936170213,0.0,1.0,0.0,1.0,1
5,-0.3958333333333333,-0.336996336996337,14,0.02385008517887564,-0.2967032967032967,0.016,-0.4195804195804196,-0.2127659574468085,0.0,1.0,1.0,0.0,0
5,-0.9375,-0.9230769230769231,20,0.7086882453151618,-0.5824175824175825,-0.528,-0.8881118881118881,-0.8297872340425532,0.0,1.0,1.0,0.0,0
0,-0.3541666666666667,-0.2783882783882784,6,-0.5587734241908007,-0.03296703296703297,-0.368,-0.2097902097902098,-0.5531914893617021,0.0,1.0,1.0,0.0,1
0,0.5833333333333334,0.6886446886446886,20,0.42589437819420783,1.4285714285714286,1.904,0.5034965034965035,0.6170212765957447,0.0,1.0,0.0,1.0,0
3,-0.2916666666666667,-0.41025641025641024,6,-0.4088586030664395,0.4065934065934066,-0.528,-0.32867132867132864,-0.19148936170212766,1.0,0.0,1.0,0.0,1
3,0.0625,-0.02197802197802198,4,-0.027257240204429302,-0.16483516483516483,-0.144,0.32867132867132864,0.0851063829787234,0.0,1.0,0.0,1.0,0
0,0.9166666666666666,1.2747252747252746,2,-0.35093696763202725,0.2967032967032967,0.96,0.6923076923076923,0.23404255319148937,0.0,1.0,0.0,1.0,0
2,0.8958333333333334,1.1282051282051282,16,-0.12947189097103917,-0.4835164835164835,0.032,0.951048951048951,0.9574468085106383,1.0,0.0,0.0,1.0,0
4,-0.3958333333333333,-0.13186813186813187,8,0.11925042589437819,-0.14285714285714285,-0.176,-0.46153846153846156,-0.14893617021276595,0.0,1.0,0.0,1.0,0
0,0.3958333333333333,0.27106227106227104,6,-0.21124361158432708,0.07692307692307693,0.432,0.43356643356643354,0.8085106382978723,0.0,1.0,1.0,0.0,1
5,0.375,0.336996336996337,12,-0.6643952299829642,0.4835164835164835,0.208,0.7202797202797203,0.9574468085106383,0.0,1.0,1.0,0.0,1
2,0.75,0.315018315018315,2,-0.16695059625212946,-0.18681318681318682,-0.288,0.23776223776223776,1.4893617021276595,0.0,1.0,0.0,1.0,0
0,0.125,0.4908424908424908,4,0.3202725724020443,-0.2857142857142857,0.496,0.3776223776223776,0.2127659574468085,0.0,1.0,1.0,0.0,0
0,-0.20833333333333334,-0.2564102564102564,16,0.6201022146507666,0.13186813186813187,0.256,-0.42657342657342656,0.06382978723404255,1.0,0.0,0.0,1.0,0
3,-0.375,-0.10989010989010989,2,-0.16695059625212946,0.04395604395604396,-0.192,-0.5524475524475524,-0.14893617021276595,0.0,1.0,1.0,0.0,0
5,0.2708333333333333,0.27106227106227104,8,0.3202725724020443,0.4835164835164835,-0.016,0.5524475524475524,-0.19148936170212766,0.0,1.0,1.0,0.0,0
4,0.8125,1.054945054945055,16,-0.044293015332197615,-0.10989010989010989,1.904,1.020979020979021,1.6595744680851063,0.0,1.0,1.0,0.0,0
3,-0.041666666666666664,-0.1391941391941392,8,-0.6609880749574105,-0.3956043956043956,-0.192,0.32867132867132864,0.0425531914893617,0.0,1.0,0.0,1.0,1
5,0.2708333333333333,0.4175824175824176,16,-0.868824531516184,0.4835164835164835,1.152,0.40559440559440557,0.5106382978723404,0.0,1.0,0.0,1.0,1
3,-0.2708333333333333,-0.20512820512820512,4,0.3100511073253833,-0.6153846153846154,-0.512,-0.4405594405594406,0.1276595744680851,1.0,0.0,1.0,0.0,0
3,0.14583333333333334,0.21978021978021978,6,0.3986371379897785,-0.07692307692307693,0.08,0.2937062937062937,0.44680851063829785,1.0,0.0,0.0,1.0,0
3,0.8125,1.2380952380952381,10,0.8415672913117547,1.7802197802197801,1.392,1.3356643356643356,0.7446808510638298,0.0,1.0,0.0,1.0,0
4,-0.4583333333333333,-0.6373626373626373,18,0.06132879045996593,-0.5934065934065934,-0.096,-0.42657342657342656,-0.2127659574468085,1.0,0.0,0.0,1.0,0
5,-0.1875,-0.2490842490842491,2,0.5281090289608177,-0.03296703296703297,0.448,-0.34965034965034963,-0.14893617021276595,0.0,1.0,0.0,1.0,0
3,-0.08333333333333333,-0.2783882783882784,8,-0.25894378194207834,0.8461538461538461,-0.096,-0.06993006993006994,0.06382978723404255,1.0,0.0,1.0,0.0,1
2,0.25,0.2564102564102564,6,0.23168654173764908,0.25274725274725274,0.72,-0.0979020979020979,0.19148936170212766,0.0,1.0,0.0,1.0,0
4,0.8541666666666666,0.29304029304029305,2,0.9744463373083475,2.340659340659341,0.08,1.3076923076923077,1.1063829787234043,1.0,0.0,0.0,1.0,0
2,-0.6041666666666666,-0.717948717948718,6,0.4020442930153322,-0.4175824175824176,-0.576,-0.5384615384615384,-0.48936170212765956,1.0,0.0,1.0,0.0,0
1,-0.5,-0.47619047619047616,16,0.29982964224872233,-0.3956043956043956,-0.016,-0.45454545454545453,-0.5106382978723404,1.0,0.0,1.0,0.0,0
0,-0.2708333333333333,0.014652014652014652,10,-0.7257240204429302,0.03296703296703297,0.32,-0.35664335664335667,0.02127659574468085,0.0,1.0,1.0,0.0,1
0,0.020833333333333332,-0.17582417582417584,16,0.6132879045996593,-0.06593406593406594,-0.272,-0.22377622377622378,0.1276595744680851,1.0,0.0,1.0,0.0,0
3,-0.7291666666666666,-0.8131868131868132,10,0.8211243611584327,-0.12087912087912088,-0.24,-0.6573426573426573,-0.6170212765957447,1.0,0.0,1.0,0.0,0
2,-0.5,-0.37362637362637363,10,-0.575809199318569,-0.31868131868131866,-0.352,-0.45454545454545453,-0.574468085106383,1.0,0.0,0.0,1.0,1
0,-0.4583333333333333,-0.5128205128205128,8,-0.9642248722316865,0.26373626373626374,0.304,-0.34965034965034963,-0.2978723404255319,0.0,1.0,0.0,1.0,1
3,-1.0,-1.032967032967033,2,-0.4293015332197615,-0.5384615384615384,-0.56,-0.965034965034965,-0.8723404255319149,0.0,1.0,1.0,0.0,1
4,0.7291666666666666,0.6373626373626373,12,0.6201022146507666,1.4505494505494505,0.016,0.6223776223776224,0.0,1.0,0.0,0.0,1.0,0
0,-0.25,-0.007326007326007326,8,-0.19761499148211242,0.03296703296703297,-0.112,-0.3006993006993007,-0.23404255319148937,1.0,0.0,1.0,0.0,1
4,-0.25,-0.16117216117216118,12,-0.44293015332197616,0.08791208791208792,0.16,-0.1048951048951049,-0.14893617021276595,0.0,1.0,0.0,1.0,1
0,0.8958333333333334,1.347985347985348,4,0.044293015332197615,1.0769230769230769,0.208,0.7342657342657343,0.7021276595744681,1.0,0.0,1.0,0.0,0
5,-0.3958333333333333,-0.5274725274725275,2,0.8006814310051107,-0.37362637362637363,-0.128,-0.3076923076923077,-0.19148936170212766,0.0,1.0,1.0,0.0,0
3,-0.4166666666666667,-0.26373626373626374,2,-0.20442930153321975,0.03296703296703297,-0.24,-0.3916083916083916,-0.44680851063829785,1.0,0.0,1.0,0.0,0
0,0.5833333333333334,0.8498168498168498,18,0.8245315161839863,0.945054945054945,1.76,0.8951048951048951,0.3829787234042553,0.0,1.0,1.0,0.0,0
1,-0.3958333333333333,-0.5128205128205128,4,-0.03747870528109029,-0.2857142857142857,-0.368,-0.45454545454545453,0.0425531914893617,1.0,0.0,1.0,0.0,0
